FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,Crossnumber_4,Crossnumber_5,number_crosses
136302,NM201805_(136302C2/136460),,,,,1
136314,NM201806_(136314C2/136357),,,,,1
136316,NM201805_(136316C2/136460),,,,,1
136331,NM201807_(136331C2/136460),,,,,1
136345,NM201804_(136345C2/136328),,,,,1
136351,NM201806_(136351C2/136460),,,,,1
136360,NM201807_(136360C2/136357),,,,,1
136378,NM201806_(136378C2/136653),,,,,1
136380,NM201806_(136380C2/136357),,,,,1
136388,NM201807_(136388C2/136357),,,,,1
136418,NM201805_(136418C2/136460),,,,,1
136440,NM201805_(136440C2/136460),,,,,1
136441,NM201805_(136441C1/136460),,,,,1
136452,NM201805_(136452C/136490),,,,,1
136456,NM201805_(136456C2/136460),,,,,1
136468,NM201804_(136468C2/136357),,,,,1
136474,NM201805_(136474C/136490),,,,,1
136478,NM201807_(136478C2/136357),,,,,1
136491,NM201805_(136491C1/136460),,,,,1
136492,BT201804_(136492C2/136283),,,,,1
136494,NM201805_(136494C1/136357),,,,,1
136497,NM201808_(136497C2/136460),,,,,1
136504,NM201805_(136504C/136490),,,,,1
136513,BT201804_(136513C2/136328),,,,,1
136514,BT201804_(136514C2/136328),,,,,1
136518,NM201806_(136518C2/136510),,,,,1
136523,NM201804_(136523C2/136490),NM201806_(136523C3/136460),,,,2
136532,NM201805_(136532C2/136460),NM201805_(136532C3/136490),,,,2
136534,NM201807_(136534C2/136357),,,,,1
136540,NM201808_(136540C2/136510),NM201808_(136540C3/136653),,,,2
136567,NM201806_(136567C2/136510),,,,,1
136571,NM201808_(136571C2/136510),,,,,1
136603,NM201805_(136603C2/136357),,,,,1
136619,NM201807_(136619C2/136460),,,,,1
136620,NM201807_(136620C2/136357),,,,,1
136632,NM201807_(136632C2/136357),,,,,1
136634,NM201806_(136634C2/136599),,,,,1
136642,BT201804_(136642C2/136599),,,,,1
136650,BT201804_(136650C2/136460),,,,,1
136654,NM201805_(136654C2/136460),,,,,1
136658,NM201805_(136658C/136357),,,,,1
136661,NM201807_(136661C2/136460),,,,,1
136664,NM201804_(136664C2/136490),,,,,1
136667,NM201805_(136667C1/136357),,,,,1
136670,NM201807_(136670C2/136460),,,,,1
