Crossnumber,Germination_Submission_Date,PlantletID,Germination_Date,Location
NM201804_(136468C2/136357),2019-03-10 13:20:08,NM201804_(136468C2/136357)_1,2019-01-02T00:00:00.000+03,Arusha
NM201805_411,2019-03-14 09:08:42,NM201805_411_1,2019-02-12,Arusha
NM201805_451,2019-03-14 09:40:06,NM201805_451_1,2019-02-12,Arusha
NM201805_451,2019-03-14 09:40:06,NM201805_451_2,2019-02-12,Arusha
NM201806_450,2019-03-10 13:20:10,NM201806_450_1,2019-01-02T00:00:00.000+03,Arusha
NM201806_450,2019-03-10 13:20:10,NM201806_450_2,2019-01-02T00:00:00.000+03,Arusha
NM201806_450,2019-03-10 13:20:10,NM201806_450_3,2019-01-02T00:00:00.000+03,Arusha
NM201806_450,2019-03-10 13:20:10,NM201806_450_4,2019-02-20,Arusha
NM201806_456,2019-03-14 08:41:47,NM201806_456_1,2019-03-13,Arusha
NM201806_462,2019-03-10 13:20:12,NM201806_462_1,2019-01-28T00:00:00.000+03,Arusha
NM201806_462,2019-03-10 13:20:12,NM201806_462_2,2019-01-28T00:00:00.000+03,Arusha
NM201806_462,2019-03-10 13:20:12,NM201806_462_3,2019-02-12,Arusha
NM201806_469,2019-03-14 09:24:37,NM201806_469_1,2019-02-12,Arusha
NM201807_(136478C2/136357),2019-03-14 08:48:22,NM201807_(136478C2/136357)_1,2019-02-12,Arusha
NM201807_(136670C2/136460),2019-03-20 09:26:20,NM201807_(136670C2/136460)_1,2019-03-01,Arusha
NM201807_(136670C2/136460),2019-03-20 09:26:20,NM201807_(136670C2/136460)_2,2019-03-01,Arusha
NM201807_477,2019-03-14 09:04:54,NM201807_477_1,2019-02-12,Arusha
NM201807_477,2019-03-14 09:04:54,NM201807_477_2,2019-02-12,Arusha
NM201807_483,2019-03-10 13:20:14,NM201807_483_1,2019-01-28T00:00:00.000+03,Arusha
NM201807_495,2019-03-20 09:30:35,NM201807_495_1,2019-02-12,Arusha
NM201807_495,2019-03-20 09:30:35,NM201807_495_2,2019-02-12,Arusha
NM201807_495,2019-03-20 09:30:35,NM201807_495_3,2019-02-12,Arusha
NM201807_495,2019-03-20 09:30:35,NM201807_495_4,2019-02-12,Arusha
NM201807_498,2019-03-14 09:21:16,NM201807_498_1,2019-02-12,Arusha
NM201807_498,2019-03-14 09:21:16,NM201807_498_2,2019-02-12,Arusha
NM201807_498,2019-03-14 09:21:16,NM201807_498_3,2019-02-12,Arusha
NM201807_498,2019-03-14 09:21:16,NM201807_498_4,2019-02-12,Arusha
NM201807_503,2019-03-14 09:49:31,NM201807_503_1,2019-02-12,Arusha
NM201808_521,2019-03-14 08:54:52,NM201808_521_1,2019-02-12,Arusha
NM201808_521,2019-03-14 08:54:52,NM201808_521_2,2019-02-12,Arusha
NM201808_522,2019-03-14 09:22:54,NM201808_522_1,2019-02-12,Arusha
NM201808_530,2019-03-14 08:53:34,NM201808_530_1,2019-02-12,Arusha
NM201808_530,2019-03-14 08:53:34,NM201808_530_2,2019-02-12,Arusha
