PlantletID,Hardening_Date,Number,Location
NM201806_450_1,2020-11-27,6.0,Arusha
NM201807_477_2,2020-11-27,4.0,Arusha
NM201809_538_61,2020-11-27,6.0,Arusha
NM201902_(136350C2/161541)_5,2020-11-27,6.0,Arusha
NM201902_(152457C1/161477)_8,2020-11-27,6.0,Arusha
NM201902_(152842C1/161541)_23,2020-11-27,3.0,Arusha
NM201902_(136350C2/161541)_5,2020-12-04,7.0,Arusha
NM201902_(136350C2/161541)_5,2020-12-15,7.0,Arusha
NM201902_(152842C1/161541)_23,2020-12-15,3.0,Arusha
NM201902_(152842C1/161541)_12,2021-01-25,1.0,Arusha
NM201808_530_4,2021-01-25,4.0,Arusha
NM201904_(136408C3/161582)_3,2021-01-25,7.0,Arusha
NM201901_(136339C2/136706)_1,2021-01-25,9.0,Arusha
NM201901_(136339C2/136706)_1,2021-01-25,7.0,Arusha
NM201902_(152842C1/161541)_9,2021-02-15,6.0,Arusha
NM201812_(136304C2/136510)_2,2021-02-15,6.0,Arusha
NM201901_(153009C1/161584)_1,2021-02-15,5.0,Arusha
