PlantletID,Screenhouse_Transfer_Date,Number,Location
NM201806_450_1,2020-11-01,7.0,Arusha
NM201807_477_2,2020-11-01,4.0,Arusha
NM201809_538_61,2020-11-01,8.0,Arusha
NM201902_(136350C2/161541)_5,2020-11-01,7.0,Arusha
NM201902_(152457C1/161477)_8,2020-11-01,6.0,Arusha
NM201902_(152842C1/161541)_23,2020-11-01,3.0,Arusha
NM201902_(152842C1/161541)_23,2020-12-07,3.0,Arusha
NM201901_(136339C2/136706)_1,2020-12-15,14.0,Arusha
NM201807_(136670C2/136460)_1,2020-12-15,2.0,Arusha
NM201902_(152842C1/161541)_12,2020-12-17,1.0,Arusha
NM201808_530_4,2020-12-17,4.0,Arusha
NM201902_(152842C1/161541)_9,2020-12-17,6.0,Arusha
NM201904_(136408C3/161582)_3,2020-12-17,6.0,Arusha
NM201901_(153009C1/161584)_1,2020-12-17,5.0,Arusha
NM201807_(136670C2/136460)_1,2020-12-17,2.0,Arusha
NM201901_(153017C1/161564)_1,2020-12-17,9.0,Arusha
NM201902_(152842C1/161541)_23,2020-12-17,3.0,Arusha
NM201812_(136304C2/136510)_2,2021-01-25,6.0,Arusha
NM201807_(136670C2/136460)_2,2021-01-25,2.0,Arusha
