PlantletID,Copies,Subculture_Date,Location
NM201810_(136564C2/136460)_8,2.0,2019-04-29,Arusha
NM201810_(136564C2/136460)_2,1.0,2019-04-29,Arusha
NM201810_(136564C2/136460)_1,2.0,2019-04-29,Arusha
NM201810_(136564C2/136460)_3,1.0,2019-04-29,Arusha
NM201810_(136564C2/136460)_4,1.0,2019-04-29,Arusha
NM201810_(136564C2/136460)_5,1.0,2019-04-29,Arusha
NM201810_(136564C2/136460)_6,1.0,2019-04-29,Arusha
NM201810_(136564C2/136460)_7,1.0,2019-04-29,Arusha
NM201810_(136498C2/136460)_1,1.0,2019-03-13,Arusha
NM201809_538_1,1.0,2019-03-13,Arusha
NM201809_538_2,1.0,2019-03-13,Arusha
NM201809_538_3,1.0,2019-03-13,Arusha
NM201809_538_4,1.0,2019-03-13,Arusha
NM201809_538_5,1.0,2019-03-13,Arusha
NM201809_538_6,1.0,2019-03-13,Arusha
NM201809_538_7,1.0,2019-03-13,Arusha
NM201809_538_9,1.0,2019-03-13,Arusha
NM201810_(136716C2/161548)_1,1.0,2019-03-13,Arusha
NM201809_538_10,1.0,2019-03-13,Arusha
NM201809_538_11,1.0,2019-03-13,Arusha
NM201809_538_12,1.0,2019-03-13,Arusha
NM201809_538_13,1.0,2019-03-13,Arusha
NM201809_538_14,1.0,2019-03-13,Arusha
NM201809_538_15,1.0,2019-03-13,Arusha
NM201809_538_16,1.0,2019-03-13,Arusha
NM201809_538_17,1.0,2019-03-13,Arusha
NM201809_538_18,1.0,2019-03-13,Arusha
NM201809_538_19,1.0,2019-03-13,Arusha
NM201809_538_20,1.0,2019-03-13,Arusha
NM201809_538_21,1.0,2019-03-13,Arusha
NM201809_538_22,1.0,2019-03-13,Arusha
NM201809_538_23,1.0,2019-03-13,Arusha
NM201809_538_24,1.0,2019-03-13,Arusha
NM201809_538_25,1.0,2019-03-13,Arusha
NM201809_538_26,1.0,2019-03-13,Arusha
NM201809_538_28,1.0,2019-03-13,Arusha
NM201809_538_29,1.0,2019-03-13,Arusha
NM201809_538_30,1.0,2019-03-13,Arusha
NM201809_538_31,1.0,2019-03-13,Arusha
NM201810_(136507C2/161548)_17,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_20,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_1,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_2,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_3,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_6,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_8,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_5,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_9,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_10,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_11,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_12,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_13,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_14,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_15,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_16,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_18,2.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_19,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_21,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_22,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_23,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_24,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_25,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_26,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_27,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_28,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_29,2.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_30,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_31,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_32,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_33,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_34,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_35,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_36,2.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_37,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_38,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_39,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_40,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_41,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_43,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_44,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_45,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_46,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_47,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_48,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_49,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_50,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_51,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_52,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_53,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_54,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_55,1.0,2019-04-16,Arusha
NM201810_(136507C2/161548)_56,1.0,2019-04-16,Arusha
NM201810_(136679C2/136653)_1,1.0,2019-05-30,Arusha
NM201810_(136679C2/136653)_2,1.0,2019-05-30,Arusha
NM201810_(136679C2/136653)_3,1.0,2019-05-30,Arusha
NM201810_(136679C2/136653)_4,1.0,2019-05-30,Arusha
NM201809_538_33,1.0,2019-05-30,Arusha
NM201809_538_32,1.0,2019-05-30,Arusha
NM201809_538_38,2.0,2019-05-30,Arusha
NM201809_538_37,2.0,2019-05-30,Arusha
NM201809_538_44,1.0,2019-05-30,Arusha
NM201809_538_52,1.0,2019-05-30,Arusha
NM201809_538_55,1.0,2019-05-30,Arusha
