PlantletID,Sending_Out_Date,Number_Sent_Out,Location
NM201807_477_2,2019-09-17,4.0,Arusha
NM201807_477_2,2019-10-17,4.0,Arusha
NM201806_450_1,2020-03-05,7.0,Arusha
NM201806_450_1,2020-03-24,7.0,Arusha
NM201806_450_1,2020-03-25,7.0,Arusha
NM201809_538_61,2020-08-19,9.0,Arusha
NM201806_456_1,2020-08-21,9.0,Arusha
NM201807_(136670C2/136460)_1,2020-08-21,2.0,Arusha
NM201807_(136670C2/136460)_2,2020-08-21,2.0,Arusha
NM201902_(152842C1/161541)_23,2020-08-25,3.0,Arusha
NM201901_(153017C1/161564)_1,2020-08-25,18.0,Arusha
NM201902_(152457C1/161477)_8,2020-08-25,6.0,Arusha
NM201902_(136350C2/161541)_5,2020-08-25,7.0,Arusha
NM201901_(153009C1/161584)_1,2020-08-25,7.0,Arusha
NM201901_(136339C2/136706)_1,2020-08-25,7.0,Arusha
NM201902_(152842C1/161541)_9,2020-08-25,7.0,Arusha
NM201904_(136408C3/161582)_3,2020-08-25,10.0,Arusha
NM201902_(152842C1/161541)_12,2020-08-25,1.0,Arusha
NM201902_(152457C1/161477)_7,2020-08-26,6.0,Arusha
NM201902_(136350C2/161541)_5,2020-08-26,7.0,Arusha
NM201811_(136627C2/136460)_1,2020-08-26,4.0,Arusha
NM201808_530_4,2020-08-26,4.0,Arusha
NM201811_(136627C2/136460)_1,2020-09-01,5.0,Arusha
NM201812_(136304C2/136510)_2,2020-12-04,19.0,Arusha
NM201812_(136304C2/136510)_5,2021-01-05,9.0,Arusha
NM201901_(153120C1/161503)_1,2021-01-05,20.0,Arusha
NM201904_(152644C1/161582)_7,2021-01-05,22.0,Arusha
NM201810_(136376C2/136460)_4,2021-03-25,3.0,Arusha
NM201808_530_6,2021-03-25,2.0,Arusha
NM201805_411_1,2021-03-25,4.0,Arusha
NM201810_(136507C2/161548)_31,2021-03-25,1.0,Arusha
NM201810_(136376C2/136460)_11,2021-03-25,1.0,Arusha
NM201810_(136507C2/161548)_8,2021-03-25,1.0,Arusha
NM201810_(136507C2/161548)_46,2021-03-25,10.0,Arusha
NM201810_(136507C2/161548)_40,2021-03-25,7.0,Arusha
NM201810_(136376C2/136460)_12,2021-03-25,15.0,Arusha
NM201810_(136507C2/161548)_55,2021-03-25,3.0,Arusha
NM201809_538_46,2021-03-25,1.0,Arusha
NM201810_(136507C2/161548)_12,2021-03-25,1.0,Arusha
NM201810_(136679C2/136653)_4,2021-03-25,5.0,Arusha
NM201904_(152779C1/161582)_29,2021-03-25,10.0,Arusha
NM201809_538_47,2021-03-25,8.0,Arusha
NM201810_(136507C2/161548)_56,2021-03-25,3.0,Arusha
NM201810_(136507C2/161548)_28,2021-03-25,1.0,Arusha
NM201810_(136507C2/161548)_16,2021-03-25,1.0,Arusha
NM201810_(136564C2/136460)_3,2021-03-25,1.0,Arusha
NM201810_(136507C2/161548)_22,2021-03-25,1.0,Arusha
NM201810_(136507C2/161548)_23,2021-03-25,2.0,Arusha
NM201810_(136564C2/136460)_8,2021-03-25,19.0,Arusha
NM201810_(136507C2/161548)_1,2021-03-25,1.0,Arusha
NM201810_(136376C2/136460)_3,2021-03-25,5.0,Arusha
NM201810_(136376C2/136460)_7,2021-03-25,3.0,Arusha
NM201809_538_64,2021-03-25,14.0,Arusha
NM201810_(136507C2/161548)_29,2021-03-25,9.0,Arusha
NM201809_538_57,2021-03-25,6.0,Arusha
NM201810_(136564C2/136460)_6,2021-03-25,6.0,Arusha
