PlantletID,Weaning_2_Date,Number,Location
NM201807_477_2,2020-03-06,8.0,Arusha
NM201809_538_61,2020-08-28,8.0,Arusha
NM201901_(153017C1/161564)_1,2020-08-28,8.0,Arusha
NM201902_(152457C1/161477)_8,2020-08-28,6.0,Arusha
NM201902_(152457C1/161477)_8,2020-08-28,5.0,Arusha
NM201902_(152842C1/161541)_23,2020-08-28,3.0,Arusha
NM201902_(136350C2/161541)_5,2020-08-28,7.0,Arusha
NM201806_450_1,2020-10-23,7.0,Arusha
NM201807_(136670C2/136460)_2,2020-11-12,2.0,Arusha
NM201902_(152842C1/161541)_9,2020-11-12,6.0,Arusha
NM201902_(152842C1/161541)_12,2020-11-12,1.0,Arusha
NM201808_530_4,2020-11-12,4.0,Arusha
NM201904_(136408C3/161582)_3,2020-11-12,7.0,Arusha
NM201901_(153009C1/161584)_1,2020-11-12,6.0,Arusha
NM201809_538_61,2020-11-12,8.0,Arusha
NM201901_(153017C1/161564)_1,2020-11-01,6.0,Arusha
NM201901_(136339C2/136706)_1,2020-11-12,14.0,Arusha
NM201807_(136670C2/136460)_1,2020-11-12,2.0,Arusha
NM201811_(136627C2/136460)_1,2020-11-12,4.0,Arusha
NM201812_(136304C2/136510)_2,2020-12-17,6.0,Arusha
NM201810_(136376C2/136460)_12,2021-03-29,5.0,Arusha
NM201810_(136507C2/161548)_46,2021-03-29,5.0,Arusha
NM201810_(136507C2/161548)_28,2021-03-29,1.0,Arusha
NM201810_(136507C2/161548)_56,2021-03-29,3.0,Arusha
NM201809_538_47,2021-03-29,6.0,Arusha
NM201810_(136507C2/161548)_16,2021-03-29,1.0,Arusha
NM201810_(136507C2/161548)_55,2021-03-29,3.0,Arusha
NM201809_538_47,2021-03-29,2.0,Arusha
NM201810_(136507C2/161548)_40,2021-03-29,7.0,Arusha
NM201810_(136564C2/136460)_3,2021-03-29,1.0,Arusha
NM201810_(136507C2/161548)_40,2021-03-29,5.0,Arusha
NM201809_538_46,2021-03-29,1.0,Arusha
NM201810_(136376C2/136460)_4,2021-03-29,3.0,Arusha
NM201807_(136670C2/136460)_2,2021-03-29,2.0,Arusha
NM201807_(136670C2/136460)_1,2021-03-29,2.0,Arusha
NM201808_530_6,2021-03-29,2.0,Arusha
NM201810_(136679C2/136653)_4,2021-03-29,5.0,Arusha
NM201810_(136507C2/161548)_12,2021-03-29,1.0,Arusha
NM201805_411_1,2021-03-29,4.0,Arusha
NM201904_(152779C1/161582)_29,2021-03-29,4.0,Arusha
NM201810_(136507C2/161548)_8,2021-03-29,1.0,Arusha
NM201904_(152779C1/161582)_29,2021-03-29,5.0,Arusha
NM201810_(136507C2/161548)_31,2021-03-29,1.0,Arusha
NM201810_(136507C2/161548)_22,2021-03-30,1.0,Arusha
