FemaleGenotype,MaleGenotype,Female_Ploidy,Male_Ploidy,Female_Link,Male_Link
ITC1455-Mchare Mlelembo,ITC1455-Mchare Mlelembo,2x,2x,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65887/view>view</a>
Huti-white,Huti-white,2x,2x,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65043/view>view</a>
ITC1460-Ijihu_nkundu,ITC1460-Ijihu_nkundu,2x,2x,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>,<a  target=_blank href=https://musabase.org/stock/163414/view>view</a>
ITC1468-kahuti,ITC1468-kahuti,2X,2X,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>
ITC1468-kahuti,ITC1468-kahuti,2x,2x,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>,<a  target=_blank href=https://musabase.org/stock/64970/view>view</a>
Mchare Laini,Mchare Laini,2x,2x,<a  target=_blank href=https://musabase.org/stock/65045/view>view</a>,<a  target=_blank href=https://musabase.org/stock/65045/view>view</a>
NM276-3,NM276-3,NA,NA,<a  target=_blank href=https://musabase.org/stock/196225/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196225/view>view</a>
NM226-4,NM226-4,NA,NA,<a  target=_blank href=https://musabase.org/stock/196217/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196217/view>view</a>
NM226-14,NM226-14,NA,NA,<a  target=_blank href=https://musabase.org/stock/196215/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196215/view>view</a>
NM226-11,NM226-11,NA,NA,<a  target=_blank href=https://musabase.org/stock/180227/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180227/view>view</a>
T.2274-9,T.2274-9,NA,NA,<a  target=_blank href=https://musabase.org/stock/196230/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196230/view>view</a>
T.2274-12,T.2274-12,NA,NA,<a  target=_blank href=https://musabase.org/stock/171826/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171826/view>view</a>
T.2269-2,T.2269-2,NA,NA,<a  target=_blank href=https://musabase.org/stock/171824/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171824/view>view</a>
T.2273-1,T.2273-1,NA,NA,<a  target=_blank href=https://musabase.org/stock/196228/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196228/view>view</a>
T.2274-3,T.2274-3,NA,NA,<a  target=_blank href=https://musabase.org/stock/171827/view>view</a>,<a  target=_blank href=https://musabase.org/stock/171827/view>view</a>
NM258-3,NM258-3,NA,NA,<a  target=_blank href=https://musabase.org/stock/196221/view>view</a>,<a  target=_blank href=https://musabase.org/stock/196221/view>view</a>
NM226-5,NM226-5,NA,NA,<a  target=_blank href=https://musabase.org/stock/180229/view>view</a>,<a  target=_blank href=https://musabase.org/stock/180229/view>view</a>
