FemalePlotName,Crossnumber_1,Crossnumber_2,Crossnumber_3,number_crosses
1154K-1-R-1--C-49,SE202102_(243393C1/243057),,,1
1154K-1-R-5--C-49,SE202009_(243721C1/242999),,,1
1154K-1-R-6--C-49,SE202009_(243488C1/242999),,,1
1154K-1-R-7--C-49,SE202012_(243480C1/243057),,,1
1154K-1-R-8--C-49,SE202011_(243817C1/242999),,,1
1201K-1-R-1--C-46,SE202102_(243458C1/243057),,,1
1201K-1-R-2--C-46,SE202101_(243433C1/242999),,,1
1201K-1-R-3--C-46,SE202011_(243851C1/242999),SE202101_(243851C2/243057),,2
1201K-1-R-3--C-47,SE202009_(243829C1/242999),,,1
1201K-1-R-4--C-46,SE202011_(243450C1/242999),,,1
1201K-1-R-5--C-46,KA202105_(243729C1/242999),,,1
1201K-1-R-6--C-15,SE202009_(242815C1/242859),,,1
1201K-1-R-6--C-16,SE202012_(242837C1/242879),,,1
1201K-1-R-6--C-19,SE202101_(243073C1/242879),,,1
1201K-1-R-6--C-46,SE202010_(243404C1/242999),SE202012_(243404C2/242999),,2
1201K-1-R-6--C-47,SE202101_(243388C1/242999),,,1
1201K-1-R-7--C-15,SE202102_(243018C1/243074),,,1
1201K-1-R-8--C-19,SE202102_(242880C1/243074),,,1
1201K-1-R-8--C-47,SE202011_(243673C1/242999),,,1
1201K-1-R-9--C-16,SE202102_(242926C1/243074),,,1
1201K-1-R-9--C-17,SE202009_(242814C1/242859),SE202009_(242814C2/242859),,2
1201K-1-R-9--C-18,SE202011_(243006C1/242839),,,1
1201K-r1-c13,SE202011_(244101C1/242999),,,1
1201K-r1-c15,SE202011_(244091C1/242999),,,1
1201K-r2-c13,SE202102_(243980C1/242999),,,1
1201K-r4-c13,SE202102_(244302C1/242999),,,1
1201K-r4-c15,KA202104_(244003C1/242999),,,1
1201K-r5-c13,SE202011_(244273C1/242999),,,1
1201K-r6-c13,SE202009_(244331C1/242999),,,1
1201K-r7-c15,SE202011_(244080C1/243057),,,1
1201K-r7-c16,KA202104_(244001C1/242999),,,1
1411K-1-R-1--C-45,SE202011_(243741C1/242946),,,1
1411K-1-R-2--C-45,SE202012_(243473C1/243057),,,1
1411K-1-R-2--C-58,SE202011_(243715C1/242896),,,1
1411K-1-R-2--C-59,SE202012_(243416C1/243057),,,1
1411K-1-R-2--C-60,KA202105_(243359C1/242999),,,1
1411K-1-R-3--C-44,SE202012_(243645C1/243057),,,1
1411K-1-R-3--C-58,SE202009_(243377C1/242999),SE202010_(243377C2/243057),,2
1411K-1-R-3--C-59,SE202101_(243725C1/242854),,,1
1411K-1-R-3--C-60,SE202101_(243840C1/242999),,,1
1411K-1-R-4--C-44,SE202101_(243469C1/243057),,,1
1411K-1-R-4--C-45,SE202012_(243432C1/243057),,,1
1411K-1-R-4--C-58,SE202101_(243384C1/242999),,,1
1411K-1-R-4--C-59,SE202010_(243790C1/243057),SE202012_(243790C2/242999),,2
1411K-1-R-5--C-58,SE202101_(243566C1/242999),,,1
1411K-1-R-6--C-44,SE202010_(243501C1/243057),,,1
1411K-1-R-6--C-60,SE202011_(243617C1/242999),,,1
1411K-1-R-7--C-44,SE202012_(243847C1/243057),,,1
1411K-1-R-7--C-45,SE202009_(243519C1/242999),,,1
1411K-1-R-7--C-58,SE202012_(243601C1/242999),,,1
1411K-1-R-8--C-44,SE202012_(243499C1/242999),,,1
1411K-1-R-8--C-58,SE202011_(243386C1/242999),SE202011_(243386C2/242999),,2
1411K-1-R-8--C-59,SE202010_(243464C1/242999),,,1
1411K-1-R-8--C-60,SE202009_(243687C1/242999),,,1
1747K-1-r1-c1,SE202011_(244283C1/243057),,,1
1747K-1-r1-c2,SE202011_(243921C1/242999),,,1
1747K-1-r1-c3,SE202011_(243985C1/242999),,,1
1747K-1-r1-c4,SE202010_(244290C1/242999),SE202101_(244290C2/242999),,2
1747K-1-r2-c1,SE202012_(244246C1/243057),,,1
1747K-1-r3-c2,SE202010_(244384C1/242999),SE202012_(244384C2/243057),,2
1747K-1-r3-c3,SE202009_(244231C1/242999),SE202010_(244231C2/242999),,2
1747K-1-r4-c2,SE202012_(244394C1/243057),,,1
1747K-1-r4-c3,SE202010_(244191C1/242999),,,1
1747K-1-r5-c1,SE202012_(243957C1/243057),,,1
1747K-1-r5-c2,SE202101_(244039C1/242999),,,1
1747K-1-r5-c4,SE202009_(244177C1/242999),,,1
1747K-1-r6-c3,SE202011_(243979C1/242999),,,1
1747K-1-r6-c4,SE202010_(244141C1/242999),,,1
1747K-1-r7-c3,SE202011_(243924C1/242999),,,1
1747K-1-r7-c4,SE202009_(244255C1/242999),,,1
199K-3-R-1--C-52,SE202012_(243780C1/242896),SE202101_(243780C2/242999),,2
199K-3-R-1--C-53,SE202012_(243819C1/242999),SE202101_(243819C2/242999),,2
199K-3-R-2--C-52,SE202009_(243407C1/243057),SE202101_(243407C2/242999),,2
199K-3-R-2--C-53,SE202010_(243801C1/242896),SE202010_(243801C2/242896),SE202101_(243801C2/242999),3
199K-3-R-3--C-52,SE202101_(243796C1/242999),,,1
199K-3-R-3--C-53,SE202011_(243709C1/242896),,,1
199K-3-R-5--C-53,SE202101_(243478C1/242999),,,1
199K-3-R-7--C-52,SE202010_(243457C1/242999),SE202012_(243457C2/242999),,2
199K-3-R-7--C-53,SE202010_(243772C1/242999),SE202011_(243772C2/242999),,2
199K-3-R-8--C-52,SE202010_(243389C1/242999),,,1
222K-1-R-2--C-20,SE202101_(242975C1/242915),,,1
222K-1-R-3--C-16,KA202105_(242941C2/242858),SE202009_(242941C1/242829),,2
222K-1-R-3--C-20,SE202012_(242923C1/242879),,,1
222K-1-R-4--C-17,SE202011_(242811C1/242977),,,1
222K-1-r2-c12,SE202012_(244412C1/243057),,,1
222K-1-r3-c9,SE202010_(244304C1/242999),SE202101_(244304C2/242999),,2
222K-1-r6-c10,SE202010_(244170C1/242999),,,1
222K-1-r6-c12,SE202010_(244379C1/242999),,,1
222K-1-r6-c9,SE202011_(244199C1/243057),,,1
222K-1-r7-c11,SE202012_(244166C1/243057),,,1
246K-1-R-2--C-48,SE202010_(243674C1/242896),SE202010_(243674C2/242896),,2
246K-1-R-3--C-48,KA202105_(243685C1/242999),,,1
246K-1-R-3--C-54,SE202101_(243378C1/242999),,,1
246K-1-R-3--C-55,SE202009_(243366C1/243057),,,1
246K-1-R-4--C-48,KA202105_(243524C1/242999),,,1
246K-1-R-4--C-54,SE202010_(243513C1/242896),SE202010_(243513C2/242896),,2
246K-1-R-5--C-48,SE202011_(243472C1/242946),,,1
246K-1-R-5--C-54,SE202010_(243628C1/242896),,,1
246K-1-R-7--C-55,SE202012_(243806C1/242896),,,1
246K-1-R-8--C-54,SE202011_(243611C1/242896),,,1
246K-1-R-8--C-55,SE202101_(243805C1/243057),,,1
365K-1-r1-c17,KA202104_(244315C1/242999),,,1
365K-1-r1-c18,SE202010_(244044C1/242999),SE202101_(244044C2/243057),,2
365K-1-r1-c20,SE202102_(244363C1/242999),,,1
365K-1-r2-c17,SE202101_(244355C1/242999),,,1
365K-1-r3-c17,SE202009_(244056C1/242999),,,1
365K-1-r4-c17,SE202009_(244229C1/242999),,,1
365K-1-r4-c20,SE202009_(244017C1/242999),,,1
365K-1-r5-c17,SE202012_(244178C1/243057),,,1
365K-1-r5-c20,SE202102_(244057C1/242999),,,1
365K-1-r6-c18,SE202102_(244350C1/242999),,,1
365K-1-r7-c17,SE202012_(244213C1/243057),,,1
365K-1-r7-c18,SE202011_(244366C1/242999),,,1
365K-1-r7-c19,SE202009_(244111C1/242999),,,1
365K-1-r7-c20,KA202104_(244279C1/242999),,,1
376K-1-R-1--C-43,SE202012_(243739C1/242999),,,1
376K-1-R-2--C-42,SE202012_(243352C1/243057),,,1
376K-1-R-3--C-42,SE202010_(243441C1/242999),SE202012_(243441C2/242999),,2
376K-1-R-3--C-43,SE202009_(243443C1/242999),,,1
376K-1-R-4--C-43,SE202010_(243437C1/242999),,,1
376K-1-R-5--C-42,SE202012_(243844C1/242999),,,1
376K-1-R-6--C-10,SE202009_(243071C1/242859),,,1
376K-1-R-6--C-11,SE202101_(243079C1/242915),,,1
376K-1-R-6--C-42,SE202010_(243587C1/243057),SE202102_(243587C2/242999),,2
376K-1-R-6--C-43,SE202012_(243809C1/243057),,,1
376K-1-R-6--C-8,SE202009_(242992C1/243038),,,1
376K-1-R-6--C-9,SE202010_(243022C1/242864),,,1
376K-1-R-7--C-12,SE202009_(243058C1/242859),,,1
376K-1-R-7--C-13,SE202012_(242979C1/242879),,,1
376K-1-R-7--C-14,SE202101_(242959C1/242879),,,1
376K-1-R-7--C-43,SE202102_(243625C1/242999),,,1
376K-1-R-7--C-9,SE202012_(242982C1/242915),,,1
376K-1-R-8--C-14,SE202102_(242878C1/243074),,,1
376K-1-R-8--C-42,SE202102_(243604C1/242999),,,1
376K-1-R-8--C-8,SE202011_(243002C1/243029),,,1
376K-1-R-8--C-9,SE202011_(242928C1/242839),,,1
376K-1-R-9--C-14,SE202010_(242842C1/243051),,,1
376K-1-R-9--C-8,SE202010_(242835C1/243059),,,1
376K-1-r2-c21,KA202104_(243981C1/242999),,,1
376K-1-r2-c22,KA202104_(243949C1/242999),,,1
376K-1-r3-c24,SE202011_(243968C1/242999),,,1
376K-1-r4-c22,SE202011_(244038C1/242999),SE202012_(244038C2/242999),,2
376K-1-r4-c24,SE202012_(244068C1/242999),,,1
376K-1-r5-c24,SE202102_(243973C1/242999),,,1
376K-1-r6-c22,SE202009_(244120C1/242999),,,1
376K-1-r6-c23,SE202101_(244195C1/242999),,,1
376K-1-r6-c24,SE202012_(244224C1/242999),SE202101_(244224C2/243057),,2
376K-1-r7-c21,SE202102_(244292C1/242999),,,1
376K-1-r7-c22,SE202101_(244054C1/242999),,,1
376K-1-r7-c23,SE202011_(244156C1/242999),,,1
401K-1-R-1--C-38,SE202010_(243422C1/242999),SE202012_(243422C2/243057),,2
401K-1-R-1--C-61,SE202101_(243757C1/242999),,,1
401K-1-R-1--C-63,KA202105_(243615C1/242999),,,1
401K-1-R-2--C-38,SE202102_(243773C1/243057),,,1
401K-1-R-2--C-61,SE202012_(243769C1/242999),,,1
401K-1-R-3--C-41,SE202101_(243580C1/242999),,,1
401K-1-R-3--C-61,SE202009_(243838C1/242999),,,1
401K-1-R-4--C-40,SE202102_(243632C1/243057),,,1
401K-1-R-4--C-41,SE202011_(243691C1/242999),SE202012_(243691C2/242999),SE202101_(243691C2/242999),3
401K-1-R-4--C-61,SE202101_(243756C1/242854),,,1
401K-1-R-4--C-62,SE202012_(243576C1/242999),,,1
401K-1-R-4--C-63,SE202101_(243391C1/243057),,,1
401K-1-R-5--C-39,SE202012_(243548C1/242999),,,1
