Crossnumber,Bunch_Harvest_Date,Location
SE202009_(240128C1/242855),2021-01-10,Kawanda
SE202009_(242376C1/242855),2021-01-10,Kawanda
SE202009_(242381C1/242996),2021-01-10,Kawanda
SE202009_(242863C1/242841),2021-02-10,Kawanda
SE202009_(242941C1/242829),2021-01-31,Kawanda
SE202009_(242962C1/242841),2021-01-31,Kawanda
SE202009_(242992C1/243038),2021-01-31,Kawanda
SE202009_(243017C1/243063),2021-01-31,Kawanda
SE202009_(243035C1/242850),2021-01-31,Kawanda
SE202009_(243058C1/242859),2021-01-31,Kawanda
SE202009_(243071C1/242859),2021-01-31,Kawanda
SE202009_(243377C1/242999),2021-01-22,Kawanda
SE202009_(243407C1/243057),2021-01-24,Kawanda
SE202009_(243443C1/242999),2021-01-20,Kawanda
SE202009_(243488C1/242999),2021-01-05,Kawanda
SE202009_(243542C1/242896),2021-01-18,Kawanda
SE202009_(243687C1/242999),2021-01-20,Kawanda
SE202009_(243721C1/242999),2021-01-08,Kawanda
SE202009_(243829C1/242999),2021-01-08,Kawanda
SE202009_(243838C1/242999),2021-01-29,Kawanda
SE202009_(244004C1/242996),2021-01-03,Kawanda
SE202009_(244029C1/242999),2021-02-10,Kawanda
SE202009_(244049C1/242855),2020-12-30,Kawanda
SE202009_(244056C1/242999),2021-02-02,Kawanda
SE202009_(244084C1/242999),2021-01-28,Kawanda
SE202009_(244093C1/242999),2021-01-18,Kawanda
SE202009_(244111C1/242999),2021-01-28,Kawanda
SE202009_(244120C1/242999),2021-01-21,Kawanda
SE202009_(244131C1/242999),2021-01-18,Kawanda
SE202009_(244177C1/242999),2021-02-01,Kawanda
SE202009_(244229C1/242999),2021-01-13,Kawanda
SE202009_(244231C1/242999),2021-02-01,Kawanda
SE202009_(244329C1/242999),2021-02-01,Kawanda
SE202009_(244331C1/242999),2021-01-04,Kawanda
SE202010_(240064C1/242855),2021-01-26,Kawanda
SE202010_(240071C1/242855),2021-01-18,Kawanda
SE202010_(240112C1/242855),2021-02-04,Kawanda
SE202010_(240257C1/242855),2020-12-30,Kawanda
SE202010_(242361C1/243074),2021-01-26,Kawanda
SE202010_(242389C1/242996),2021-01-26,Kawanda
SE202010_(242404C1/243074),2021-02-05,Kawanda
SE202010_(242418C1/242996),2021-02-05,Kawanda
SE202010_(242423C1/243074),2021-01-26,Kawanda
SE202010_(242428C1/242996),2021-02-05,Kawanda
SE202010_(242436C2/243074),2021-01-26,Kawanda
SE202010_(242513C1/242850),2021-02-05,Kawanda
SE202010_(242835C1/243059),2021-02-28,Kawanda
SE202010_(242895C1/242864),2021-01-31,Kawanda
SE202010_(242899C1/242864),2021-01-22,Kawanda
SE202010_(242953C1/242990),2021-02-22,Kawanda
SE202010_(242960C1/243051),2021-02-22,Kawanda
