Crossnumber,Seed_Extraction_Date,Total_Seeds,Location
SE202009_(240128C1/242855),2021-01-17,0,Kawanda
SE202009_(242376C1/242855),2021-01-19,0,Kawanda
SE202009_(242941C1/242829),2021-02-18,65,Kawanda
SE202009_(242962C1/242841),2021-02-18,11,Kawanda
SE202009_(242992C1/243038),2021-02-18,28,Kawanda
SE202009_(243035C1/242850),2021-02-15,34,Kawanda
SE202009_(243058C1/242859),2021-02-15,24,Kawanda
SE202009_(243071C1/242859),2021-02-15,11,Kawanda
SE202009_(243377C1/242999),2021-02-10,6,Kawanda
SE202009_(243407C1/243057),2021-02-01,7,Kawanda
SE202009_(243443C1/242999),2021-02-10,94,Kawanda
SE202009_(243488C1/242999),2021-01-22,245,Kawanda
SE202009_(243542C1/242896),2021-02-01,64,Kawanda
SE202009_(243687C1/242999),2021-02-01,3,Kawanda
SE202009_(243721C1/242999),2021-01-25,80,Kawanda
SE202009_(243829C1/242999),2021-02-01,575,Kawanda
SE202009_(243838C1/242999),2021-02-10,0,Kawanda
SE202009_(244004C1/242996),2021-01-19,0,Kawanda
SE202009_(244029C1/242999),2021-02-22,0,Kawanda
SE202009_(244056C1/242999),2021-02-26,5,Kawanda
SE202009_(244084C1/242999),2021-02-10,22,Kawanda
SE202009_(244093C1/242999),2021-02-10,213,Kawanda
SE202009_(244111C1/242999),2021-02-08,2,Kawanda
SE202009_(244120C1/242999),2021-02-10,35,Kawanda
SE202009_(244131C1/242999),2021-02-10,178,Kawanda
SE202009_(244177C1/242999),2021-02-17,192,Kawanda
SE202009_(244229C1/242999),2021-01-22,75,Kawanda
SE202009_(244231C1/242999),2021-02-17,20,Kawanda
SE202009_(244329C1/242999),2021-02-17,0,Kawanda
SE202009_(244331C1/242999),2021-01-13,15,Kawanda
SE202010_(240112C1/242855),2021-02-08,0,Kawanda
SE202010_(240257C1/242855),2021-01-11,0,Kawanda
SE202010_(242389C1/242996),2021-02-15,0,Kawanda
SE202010_(242404C1/243074),2021-02-15,0,Kawanda
SE202010_(242418C1/242996),2021-02-15,1,Kawanda
SE202010_(242428C1/242996),2021-02-15,0,Kawanda
SE202010_(242436C2/243074),2021-02-15,0,Kawanda
SE202010_(242895C1/242864),2021-02-15,75,Kawanda
SE202010_(242899C1/242864),2021-02-03,22,Kawanda
SE202010_(242987C1/242859),2021-03-01,444,Kawanda
SE202010_(243022C1/242864),2021-02-22,0,Kawanda
SE202010_(243062C1/242864),2021-02-15,11,Kawanda
SE202010_(243357C1/243057),2021-02-26,80,Kawanda
SE202010_(243365C1/243057),2021-02-26,69,Kawanda
SE202010_(243377C2/243057),2021-02-22,14,Kawanda
SE202010_(243404C1/242999),2021-02-10,43,Kawanda
SE202010_(243422C1/242999),2021-03-01,250,Kawanda
SE202010_(243427C1/242896),2021-02-10,100,Kawanda
SE202010_(243437C1/242999),2021-02-26,14,Kawanda
SE202010_(243457C1/242999),2021-03-01,43,Kawanda
SE202010_(243464C1/242999),2021-02-18,32,Kawanda
SE202010_(243498C1/242999),2021-03-01,238,Kawanda
SE202010_(243501C1/243057),2021-03-05,0,Kawanda
SE202010_(243513C1/242896),2021-02-18,194,Kawanda
SE202010_(243513C2/242896),2021-03-01,167,Kawanda
SE202010_(243587C1/243057),2021-02-22,72,Kawanda
SE202010_(243588C1/242999),2021-02-18,19,Kawanda
SE202010_(243630C1/243057),2021-03-01,100,Kawanda
SE202010_(243766C1/242999),2021-02-17,260,Kawanda
SE202010_(243772C1/242999),2021-02-10,14,Kawanda
SE202010_(243801C2/242896),2021-02-18,88,Kawanda
SE202010_(243918C1/242996),2021-02-15,5,Kawanda
SE202010_(243965C1/242999),2021-02-17,34,Kawanda
SE202010_(244044C1/242999),2021-02-22,4,Kawanda
SE202010_(244141C1/242999),2021-03-01,0,Kawanda
SE202010_(244170C1/242999),2021-03-01,15,Kawanda
SE202010_(244191C1/242999),2021-03-05,12,Kawanda
SE202010_(244254C1/244322),2021-02-03,0,Kawanda
SE202010_(244304C1/242999),2021-03-05,0,Kawanda
SE202010_(244314C1/242996),2021-01-15,0,Kawanda
SE202010_(244324C1/242999),2021-02-22,127,Kawanda
SE202010_(244337C1/244322),2021-01-15,0,Kawanda
SE202010_(244379C1/242999),2021-02-22,9,Kawanda
SE202011_(240009C1/242855),2021-02-26,0,Kawanda
SE202011_(240013C1/242875),2021-02-26,2,Kawanda
SE202011_(242547C1/242850),2021-03-01,0,Kawanda
SE202011_(243903C1/244010),2021-02-26,0,Kawanda
SE202011_(244256C1/244357),2021-02-26,22,Kawanda
