Crossnumber,TrialName,FemalePlotName,Mother,Cycle,Father,MalePlotName,First_Pollination_Date,Number_of_Repeats,Bunch_Harvest_Date,Seed_Extraction_Date,Total_Seeds,Good_Seeds,Embryo_Rescue_Date,Number_of_Embryo_Rescued,Number_of_Embryo_Germinating,Germination_Date,Location
SE201810_(155295C1/132696),3X pollination block Phase 3-Sendusu,Entukura_16_Phase3_R5C7,Entukura,1,8075-7,17-8075-7_R1C3_plot3,2018-10-05,,,,,,,,,,Sendusu
SE201810_(162374C1/132566),2016 New 4x Female parents Sendusu,29275S-1_14_R7P5,29275S-1,1,8075-7,17-8075-7_R1C2_plot2,2018-10-17,2.0,2019-02-11,2019-02-21,115.0,69,2019-03-26,69,1.0,2019-04-24,Sendusu
SE201810_(162432C1/132315),2016 New 4x Female parents Sendusu,29364S-2_14_R10P2,29364S-2,1,10969S-1,17-10969s-1_R23C1_plot331,2018-10-24,3.0,,,,,,,,,Sendusu
SE201810_(162490C1/132635),2016 New 4x Female parents Sendusu,29364S-2_14_R10P4,29364S-2,1,7197-2,17-7197-2_R12C2_plot167,2018-10-30,3.0,2019-02-10,2019-02-28,97,51,2019-03-20,51,,,Sendusu
SE201810_(162504C1/132625),3X pollination block New Phase 1-Sendusu,Nfuuka_14_Phase1_R13C10,Nfuuka,1,SH3362,17-SH3362_R19C7_plot277,2018-10-22,4.0,2019-01-18,2019-08-08,0,,,,,,Sendusu
SE201810_(162514C1/132625),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R7C3,IITA-Nakyetengu,1,SH3362,17-SH3362_R19C7_plot277,2018-10-13,3.0,2019-02-08,2019-02-21,0,,,,,,Sendusu
SE201810_(162519C1/132316),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R27C10,ITC1354,1,8075-7,17-8075-7_R2C1_plot16,2018-10-27,,,,,,,,,,Sendusu
SE201810_(162548C1/132624),3X pollination block New Phase 1-Sendusu,Nakasabira_14_Phase1_R32C13,Nakasabira,1,TMB2X5265-1,17-5265-1_R8C3_plot108,2018-10-23,4.0,,,,,,,,,Sendusu
SE201810_(162554C1/132697),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R7C8,IITA-Nakyetengu,1,SH3217,17-SH3217_R13C5_plot185,2018-10-26,5.0,,,,,,,,,Sendusu
SE201810_(162600C1/132348),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R6C11,Entukura,1,7197-2,17-7197-2_R11C3_plot153,2018-10-15,2.0,,,,,,,,,Sendusu
SE201810_(162647C1/132624),3X pollination block New Phase 1-Sendusu,Nakyetengu_14_Phase1_R8C5,IITA-Nakyetengu,1,TMB2X5265-1,17-5265-1_R8C3_plot108,2018-10-29,,2019-07-30,2019-08-15,1,1,2019-08-20,1,,,Sendusu
SE201810_(162663C1/132624),3X pollination block New Phase 1-Sendusu,Kabucuragye_14_Phase1_R21C8,Kabucuragye,1,TMB2X5265-1,17-5265-1_R8C3_plot108,2018-10-15,,,,,,,,,,Sendusu
SE201810_(162729C1/132425),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R30C6,ITC1355,1,9128-3,17-9128-3_R5C1_plot61,2018-10-22,3.0,,,,,,,,,Sendusu
SE201810_(162737C1/132441),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R26C10,ITC1354,1,TMB2X5265-1,17-5265-1_R8C2_plot107,2018-10-27,3.0,,,,,,,,,Sendusu
SE201810_(162750C1/132635),3X pollination block New Phase 1-Sendusu,Nakasabira_14_Phase1_R32C17,Nakasabira,1,7197-2,17-7197-2_R12C2_plot167,2018-10-25,4.0,,,,,,,,,Sendusu
SE201810_(162775C1/132441),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R4C17,Entukura,1,TMB2X5265-1,17-5265-1_R8C2_plot107,2018-10-12,2.0,2019-01-18,,,,,,,,Sendusu
SE201810_(162784C1/132697),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R28C15,ITC1355,1,SH3217,17-SH3217_R13C5_plot185,2018-10-27,4.0,,,,,,,,,Sendusu
SE201810_(162792C1/132512),3X pollination block New Phase 1-Sendusu,Tereza_14_Phase1_R16C10,Tereza,1,7197-2,17-7197-2_R12C4_plot169,2018-10-22,7.0,,,,,,,,,Sendusu
SE201810_(162800C1/132610),3X pollination block New Phase 1-Sendusu,Kabucuragye_14_Phase1_R21C10,Kabucuragye,1,8075-7,17-8075-7_R1C7_plot7,2018-10-25,4.0,,,,,,,,,Sendusu
SE201810_(162836C1/132307),3X pollination block New Phase 1-Sendusu,Kazirakwe_14_Phase1_R29C17,ITC1355,1,8075-7,17-8075-7_R3C2_plot32,2018-10-11,2.0,,,,,,,,,Sendusu
SE201810_(162843C1/132348),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R4C10,Entukura,1,7197-2,17-7197-2_R11C3_plot153,2018-10-11,2.0,,,,,,,,,Sendusu
SE201810_(162857C1/132625),3X pollination block New Phase 1-Sendusu,Nfuuka_14_Phase1_R15C5,Nfuuka,1,SH3362,17-SH3362_R19C7_plot277,2018-10-25,3.0,,,,,,,,,Sendusu
SE201810_(162900C1/132512),3X pollination block New Phase 1-Sendusu,Enzirabahima_14_Phase1_R25C1,ITC1354,1,7197-2,17-7197-2_R12C4_plot169,2018-10-15,3.0,,,,,,,,,Sendusu
SE201810_(162904C1/132709),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R6C17,Entukura,1,SH3217,17-SH3217_R14C1_plot196,2018-10-24,4.0,,,,,,,,,Sendusu
SE201810_(162920C1/132505),3X pollination block New Phase 1-Sendusu,Entukura_14_Phase1_R4C9,Entukura,1,SH3217,17-SH3217_R13C3_plot183,2018-10-22,5.0,2019-02-05,,,,,,,,Sendusu
SE201810_(162957C1/132425),3X pollination block New Phase 2-Sendusu,Enzirabahima_14_Phase2_R25C1,ITC1354,1,9128-3,17-9128-3_R5C1_plot61,2018-10-15,4.0,,,,,,,,,Sendusu
SE201810_(162959C1/132498),3X pollination block New Phase 2-Sendusu,Enzirabahima_14_Phase2_R27C5,ITC1354,1,9128-3,17-9128-3_R4C1_plot46,2018-10-22,5.0,2019-07-30,2019-08-08,0,,,,,,Sendusu
SE201810_(162974C1/132441),3X pollination block New Phase 2-Sendusu,Kazirakwe_14_Phase2_R29C9,ITC1355,1,TMB2X5265-1,17-5265-1_R8C2_plot107,2018-10-22,3.0,,,,,,,,,Sendusu
SE201810_(162995C1/132610),3X pollination block New Phase 2-Sendusu,Entukura_14_Phase2_R4C2,Entukura,1,8075-7,17-8075-7_R1C7_plot7,2018-10-22,4.0,,,,,,,,,Sendusu
SE201810_(163054C1/132684),3X pollination block New Phase 2-Sendusu,Nfuuka_14_Phase2_R14C10,Nfuuka,1,7197-2,17-7197-2_R11C5_plot155,2018-10-30,6.0,2019-02-05,2019-02-14,0,,,,,,Sendusu
SE201810_(163090C1/132709),3X pollination block New Phase 2-Sendusu,Kabucuragye_14_Phase2_R19C3,Kabucuragye,1,SH3217,17-SH3217_R14C1_plot196,2018-10-13,5.0,,,,,,,,,Sendusu
SE201810_(163171C1/132348),3X pollination block New Phase 3-Sendusu,Kabucuragye_16_Phase3_R19C7,Kabucuragye,1,7197-2,17-7197-2_R11C3_plot153,2018-10-25,4.0,,,,,,,,,Sendusu
SE201810_(163174C1/132697),3X pollination block New Phase 3-Sendusu,Kazirakwe_16_Phase3_R30C6,ITC1355,1,SH3217,17-SH3217_R13C5_plot185,2018-10-25,4.0,,,,,,,,,Sendusu
SE201810_(163220C1/132512),3X pollination block New Phase 3-Sendusu,Entukura_16_Phase3_R5C5,Entukura,1,7197-2,17-7197-2_R12C4_plot169,2018-10-11,4.0,2019-01-18,,,,,,,,Sendusu
SE201810_(163240C1/132512),3X pollination block New Phase 3-Sendusu,Kabucuragye_16_Phase3_R21C7,Kabucuragye,1,7197-2,17-7197-2_R12C4_plot169,2018-10-22,6.0,,,,,,,,,Sendusu
SE201810_(163244C1/132348),3X pollination block New Phase 3-Sendusu,Kazirakwe_16_Phase3_R30C2,ITC1355,1,7197-2,17-7197-2_R11C3_plot153,2018-10-24,4.0,,,,,,,,,Sendusu
SE201810_(163254C1/132441),3X pollination block New Phase 3-Sendusu,Nakyetengu_16_Phase3_R8C9,IITA-Nakyetengu,1,TMB2X5265-1,17-5265-1_R8C2_plot107,2018-10-24,4.0,,,,,,,,,Sendusu
SE201810_(163262C1/132505),3X pollination block New Phase 3-Sendusu,Tereza_16_Phase3_R17C4,Tereza,1,SH3217,17-SH3217_R13C3_plot183,2018-10-26,5.0,2019-08-08,2019-08-22,4,3,2019-09-02,3,,,Sendusu
SE201810_(163312C1/132635),3X pollination block New Phase 3-Sendusu,Nakasabira_16_Phase3_R33C2,Nakasabira,1,7197-2,17-7197-2_R12C2_plot167,2018-10-17,3.0,,,,,,,,,Sendusu
SE201810_(163359C1/132512),3X pollination block New Phase 3-Sendusu,Tereza_16_Phase3_R16C10,Tereza,1,7197-2,17-7197-2_R12C4_plot169,2018-10-10,5.0,,,,,,,,,Sendusu
SE201810_(163375C1/132625),3X pollination block New Phase 3-Sendusu,Enzirabahima_16_Phase3_R25C5,ITC1354,1,SH3362,17-SH3362_R19C7_plot277,2018-10-30,7.0,2019-02-05,,,,,,,,Sendusu
SE201811_(162378C1/132635),2016 New 4x Female parents Sendusu,25974S-17_14_R6P8,25974S-17,1,7197-2,17-7197-2_R12C2_plot167,2018-11-08,2.0,,,,,,,,,Sendusu
SE201811_(162412C1/132315),2016 New 4x Female parents Sendusu,25974S-17_14_R5P7,25974S-17,1,10969S-1,17-10969s-1_R23C1_plot331,2018-11-27,,,,,,,,,,Sendusu
