Crossnumber,Germination_Submission_Date,PlantletID,Germination_Date,Location
SE201810_(162374C1/132566),2019-05-22 12:11:02,SE201810_(162374C1/132566)_1,2019-04-24,Sendusu
SE201811_(162658C1/132339),2019-05-14 10:03:16,SE201811_(162658C1/132339)_1,2019-05-13,Sendusu
SE201811_(162926C1/132684),2019-06-07 11:50:19,SE201811_(162926C1/132684)_1,2019-05-30,Sendusu
SE201812_(162435C1/132708),2019-05-14 11:13:18,SE201812_(162435C1/132708)_1,2019-05-13,Sendusu
SE201812_(162435C1/132708),2019-05-14 11:13:18,SE201812_(162435C1/132708)_2,2019-05-30,Sendusu
SE201812_(162435C1/132708),2019-05-14 11:13:18,SE201812_(162435C1/132708)_3,2019-05-30,Sendusu
SE201812_(162435C1/132708),2019-05-14 11:13:18,SE201812_(162435C1/132708)_4,2019-05-21,Sendusu
SE201812_(162435C1/132708),2019-05-14 11:13:18,SE201812_(162435C1/132708)_5,2019-05-21,Sendusu
SE201812_(162435C1/132708),2019-05-14 11:13:18,SE201812_(162435C1/132708)_6,2019-05-21,Sendusu
SE201812_(162435C1/132708),2019-05-14 11:13:18,SE201812_(162435C1/132708)_7,2019-05-21,Sendusu
SE201901_(162589C1/132635),2019-06-19 08:17:26,SE201901_(162589C1/132635)_1,2019-05-30,Sendusu
SE201901_(162589C1/132635),2019-06-19 08:17:26,SE201901_(162589C1/132635)_2,2019-05-30,Sendusu
SE201901_(162589C1/132635),2019-06-19 08:17:26,SE201901_(162589C1/132635)_3,2019-05-30,Sendusu
SE201901_(162589C1/132635),2019-06-19 08:17:26,SE201901_(162589C1/132635)_4,2019-05-30,Sendusu
SE201901_(162786C1/132635),2019-06-13 11:20:42,SE201901_(162786C1/132635)_1,2019-05-21,Sendusu
SE201901_(162921C1/132316),2019-06-19 08:30:06,SE201901_(162921C1/132316)_1,2019-05-20,Sendusu
SE201901_(163002C1/132635),2019-06-07 11:50:18,SE201901_(163002C1/132635)_1,2019-05-30,Sendusu
SE201901_(163002C1/132635),2019-06-07 11:50:18,SE201901_(163002C1/132635)_2,2019-05-30,Sendusu
SE201902_(162368C1/132466),2019-08-27 09:26:40,SE201902_(162368C1/132466)_1,2019-08-26,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_1,2019-07-09,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_2,2019-07-08,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_20,2019-07-23,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_21,2019-07-23,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_23,2019-07-23,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_24,2019-08-07,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_25,2019-08-07,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_26,2019-08-07,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_27,2019-08-07,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_3,2019-07-08,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_4,2019-07-08,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_5,2019-07-08,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_6,2019-07-08,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_7,2019-07-08,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_8,2019-07-08,Sendusu
SE201902_(162421C1/132608),2019-07-10 09:17:22,SE201902_(162421C1/132608)_9,2019-07-08,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_1,2019-07-23,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_12,2019-07-23,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_2,2019-07-23,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_3,2019-07-23,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_4,2019-07-23,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_5,2019-07-23,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_6,2019-07-23,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_7,2019-07-23,Sendusu
SE201902_(162449C1/132494),2019-07-24 06:38:48,SE201902_(162449C1/132494)_8,2019-07-23,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_1,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_10,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_11,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_12,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_13,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_14,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_15,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_16,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_17,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_18,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_19,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_2,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_20,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_21,2019-08-26,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_22,2019-09-02,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_3,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_4,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_5,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_6,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_7,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_8,2019-08-07,Sendusu
SE201902_(162450C1/132447),2019-08-08 07:56:57,SE201902_(162450C1/132447)_9,2019-08-07,Sendusu
SE201902_(162710C1/132383),2019-06-19 08:43:55,SE201902_(162710C1/132383)_1,2019-06-19,Sendusu
SE201902_(162730C1/132470),2019-06-19 08:42:26,SE201902_(162730C1/132470)_1,2019-06-19,Sendusu
