Location,PlantletID,Crossnumber,Mother,Father,Germination_Submission_Date,Germination_Date,Copies,Number_Rooting,Number_Sent_Out,Weaning_2_Plantlets,Number_in_Screenhouse,Number_in_hardening,Number_in_Openfield
Sendusu,SE201810_(162374C1/132566)_1,SE201810_(162374C1/132566),29275S-1,8075-7,2019-05-22 12:11:02,2019-04-24,8.0,5.0,9.0,4.0,4.0,2.0,2.0
Sendusu,SE201811_(162658C1/132339)_1,SE201811_(162658C1/132339),ITC1354,8075-7,2019-05-14 10:03:16,2019-05-13,,,,,,,
Sendusu,SE201811_(162926C1/132684)_1,SE201811_(162926C1/132684),Entukura,7197-2,2019-06-07 11:50:19,2019-05-30,8.0,2.0,2.0,2.0,2.0,2.0,2.0
Sendusu,SE201812_(162435C1/132708)_1,SE201812_(162435C1/132708),29364S-2,7197-2,2019-05-14 11:13:18,2019-05-13,1.0,1.0,2.0,1.0,1.0,1.0,2.0
Sendusu,SE201812_(162435C1/132708)_2,SE201812_(162435C1/132708),29364S-2,7197-2,2019-05-14 11:13:18,2019-05-30,9.0,4.0,4.0,4.0,4.0,2.0,2.0
Sendusu,SE201812_(162435C1/132708)_3,SE201812_(162435C1/132708),29364S-2,7197-2,2019-05-14 11:13:18,2019-05-30,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sendusu,SE201812_(162435C1/132708)_4,SE201812_(162435C1/132708),29364S-2,7197-2,2019-05-14 11:13:18,2019-05-21,,,,,,,
Sendusu,SE201812_(162435C1/132708)_5,SE201812_(162435C1/132708),29364S-2,7197-2,2019-05-14 11:13:18,2019-05-21,,,,,,,
Sendusu,SE201812_(162435C1/132708)_6,SE201812_(162435C1/132708),29364S-2,7197-2,2019-05-14 11:13:18,2019-05-21,,,,,,,
Sendusu,SE201812_(162435C1/132708)_7,SE201812_(162435C1/132708),29364S-2,7197-2,2019-05-14 11:13:18,2019-05-21,,,,,,,
Sendusu,SE201901_(162589C1/132635)_1,SE201901_(162589C1/132635),ITC1354,7197-2,2019-06-19 08:17:26,2019-05-30,,,,,,,
Sendusu,SE201901_(162589C1/132635)_2,SE201901_(162589C1/132635),ITC1354,7197-2,2019-06-19 08:17:26,2019-05-30,,,,,,,
Sendusu,SE201901_(162589C1/132635)_3,SE201901_(162589C1/132635),ITC1354,7197-2,2019-06-19 08:17:26,2019-05-30,9.0,4.0,4.0,3.0,3.0,3.0,3.0
Sendusu,SE201901_(162589C1/132635)_4,SE201901_(162589C1/132635),ITC1354,7197-2,2019-06-19 08:17:26,2019-05-30,,,,,,,
Sendusu,SE201901_(162786C1/132635)_1,SE201901_(162786C1/132635),ITC1354,7197-2,2019-06-13 11:20:42,2019-05-21,2.0,3.0,4.0,4.0,2.0,2.0,2.0
Sendusu,SE201901_(162921C1/132316)_1,SE201901_(162921C1/132316),Nfuuka,8075-7,2019-06-19 08:30:06,2019-05-20,4.0,3.0,3.0,3.0,2.0,2.0,2.0
Sendusu,SE201901_(163002C1/132635)_1,SE201901_(163002C1/132635),Nakasabira,7197-2,2019-06-07 11:50:18,2019-05-30,7.0,,,,,,
Sendusu,SE201901_(163002C1/132635)_2,SE201901_(163002C1/132635),Nakasabira,7197-2,2019-06-07 11:50:18,2019-05-30,7.0,,,,,,
