PlantletID,Copies,Subculture_Date,Location
SE201902_(162421C1/132608)_3,1,2019-09-06,Sendusu
SE201902_(162450C1/132447)_9,2,2019-09-06,Sendusu
SE201901_(162921C1/132316)_1,1,2019-09-06,Sendusu
SE201902_(162421C1/132608)_2,4,2019-09-06,Sendusu
SE201902_(162450C1/132447)_10,3,2019-08-29,Sendusu
SE201902_(162450C1/132447)_9,4,2019-09-06,Sendusu
SE201810_(162374C1/132566)_1,3,2019-08-29,Sendusu
SE201902_(162421C1/132608)_24,3,2019-09-06,Sendusu
SE201902_(162421C1/132608)_3,5,2019-09-06,Sendusu
SE201902_(162449C1/132494)_7,4,2019-09-06,Sendusu
SE201902_(162450C1/132447)_20,3,2019-09-05,Sendusu
SE201901_(162921C1/132316)_1,3,2019-09-06,Sendusu
SE201812_(162435C1/132708)_2,4,2019-09-06,Sendusu
SE201902_(162421C1/132608)_27,3,2019-09-06,Sendusu
SE201904_(162430C1/132419)_13,4,2019-10-16,Sendusu
SE201904_(162377C1/132361)_10,3,2019-10-16,Sendusu
SE201905_(162431C1/132332)_84,2,2019-10-16,Sendusu
SE201902_(163152C1/132512)_2,1,2019-10-16,Sendusu
SE201904_(162459C1/132361)_16,3,2019-10-16,Sendusu
SE201904_(162377C1/132361)_15,2,2019-10-16,Sendusu
SE201904_(162377C1/132361)_25,3,2019-10-16,Sendusu
SE201904_(162377C1/132361)_17,3,2019-10-16,Sendusu
SE201903_(162373C1/132466)_3,4,2019-10-16,Sendusu
SE201905_(162431C1/132332)_2,2,2019-10-16,Sendusu
SE201904_(162377C1/132361)_20,2,2019-10-16,Sendusu
SE201905_(162431C1/132332)_20,2,2019-10-16,Sendusu
SE201903_(162357C1/132383)_58,4,2019-10-16,Sendusu
SE201904_(162430C1/132419)_14,3,2019-10-16,Sendusu
SE201902_(163238C1/132696)_1,2,2019-10-16,Sendusu
SE201904_(162377C1/132361)_4,4,2019-10-16,Sendusu
SE201902_(162450C1/132447)_14,4,2019-10-16,Sendusu
SE201902_(162449C1/132494)_3,1,2019-10-16,Sendusu
SE201903_(163363C1/132604)_2,4,2019-10-16,Sendusu
SE201902_(162421C1/132608)_5,3,2019-10-16,Sendusu
SE201901_(162786C1/132635)_1,2,2019-10-16,Sendusu
SE201904_(162372C1/132696)_2,3,2019-10-16,Sendusu
SE201904_(162459C1/132361)_15,2,2019-10-16,Sendusu
SE201904_(162430C1/132419)_5,3,2019-10-16,Sendusu
