PlantletID,Weaning_2_Date,Number,Location
SE201902_(162421C1/132608)_3,2019-12-02,4.0,Sendusu
SE201902_(162421C1/132608)_24,2019-12-02,3.0,Sendusu
SE201902_(162710C1/132383)_1,2019-12-02,3.0,Sendusu
SE201902_(162421C1/132608)_27,2019-12-17,4.0,Sendusu
SE201903_(162824C1/132316)_1,2019-12-17,3.0,Sendusu
SE201903_(162357C1/132383)_26,2019-12-17,4.0,Sendusu
SE201902_(162450C1/132447)_10,2019-12-17,2.0,Sendusu
SE201902_(162450C1/132447)_22,2019-12-17,4.0,Sendusu
SE201901_(162921C1/132316)_1,2019-12-17,3.0,Sendusu
SE201904_(162430C1/132419)_7,2019-12-17,3.0,Sendusu
SE201904_(162459C1/132361)_24,2019-12-17,3.0,Sendusu
SE201903_(163325C1/132608)_2,2019-12-17,3.0,Sendusu
SE201903_(163409C1/132623)_1,2019-12-17,2.0,Sendusu
SE201903_(162405C1/132571)_2,2019-12-17,3.0,Sendusu
SE201904_(162430C1/132419)_3,2019-12-17,2.0,Sendusu
SE201905_(162431C1/132332)_64,2020-02-07,4.0,Sendusu
SE201905_(162431C1/132332)_154,2020-02-07,2.0,Sendusu
SE201905_(162431C1/132332)_133,2020-02-07,2.0,Sendusu
SE201905_(162431C1/132332)_146,2020-02-07,3.0,Sendusu
SE201902_(162730C1/132470)_1,2020-02-07,3.0,Sendusu
SE201905_(162431C1/132332)_120,2020-02-07,4.0,Sendusu
SE201904_(162377C1/132361)_21,2020-02-07,3.0,Sendusu
SE201904_(162377C1/132361)_20,2020-02-07,2.0,Sendusu
SE201901_(162786C1/132635)_1,2020-02-07,2.0,Sendusu
SE201905_(162431C1/132332)_116,2020-02-10,4.0,Sendusu
SE201903_(162357C1/132383)_35,2020-02-10,2.0,Sendusu
SE201903_(162373C1/132466)_1,2020-02-10,3.0,Sendusu
SE201904_(162459C1/132361)_56,2020-02-10,4.0,Sendusu
SE201905_(162431C1/132332)_38,2020-02-10,4.0,Sendusu
SE201905_(162431C1/132332)_52,2020-02-10,4.0,Sendusu
SE201903_(163363C1/132604)_2,2020-02-10,4.0,Sendusu
SE201902_(162450C1/132447)_9,2020-02-10,4.0,Sendusu
SE201904_(162459C1/132361)_70,2020-02-10,2.0,Sendusu
SE201905_(162431C1/132332)_47,2020-02-10,2.0,Sendusu
SE201905_(162431C1/132332)_87,2020-02-10,4.0,Sendusu
SE201905_(162431C1/132332)_142,2020-02-10,4.0,Sendusu
SE201904_(162377C1/132361)_15,2020-02-10,2.0,Sendusu
SE201904_(162459C1/132361)_8,2020-02-10,4.0,Sendusu
SE201904_(162377C1/132361)_27,2020-02-10,4.0,Sendusu
SE201903_(162849C1/132373)_1,2020-02-10,4.0,Sendusu
SE201902_(162449C1/132494)_3,2020-02-10,1.0,Sendusu
SE201905_(162431C1/132332)_140,2020-02-10,3.0,Sendusu
SE201902_(162421C1/132608)_4,2020-02-10,3.0,Sendusu
SE201903_(162357C1/132383)_41,2020-02-10,1.0,Sendusu
SE201905_(162431C1/132332)_136,2020-02-10,4.0,Sendusu
SE201904_(162459C1/132361)_4,2020-02-10,4.0,Sendusu
SE201812_(162435C1/132708)_1,2020-02-10,1.0,Sendusu
SE201905_(162431C1/132332)_48,2020-02-11,2.0,Sendusu
SE201905_(162431C1/132332)_115,2020-02-11,3.0,Sendusu
SE201905_(162431C1/132332)_11,2020-02-11,4.0,Sendusu
SE201905_(162431C1/132332)_151,2020-02-11,4.0,Sendusu
SE201903_(162357C1/132383)_32,2020-02-11,2.0,Sendusu
SE201905_(162431C1/132332)_113,2020-02-12,3.0,Sendusu
SE201905_(162431C1/132332)_86,2020-02-12,3.0,Sendusu
SE201904_(162459C1/132361)_27,2020-02-12,3.0,Sendusu
SE201902_(162449C1/132494)_7,2019-11-28,4.0,Sendusu
SE201812_(162435C1/132708)_2,2019-11-28,4.0,Sendusu
SE201904_(162459C1/132361)_41,2020-03-23,4.0,Sendusu
SE201905_(162431C1/132332)_22,2020-03-23,4.0,Sendusu
SE201902_(163152C1/132512)_1,2020-03-23,2.0,Sendusu
SE201905_(162431C1/132332)_114,2020-03-23,2.0,Sendusu
SE201905_(162431C1/132332)_39,2020-03-23,2.0,Sendusu
SE201904_(162459C1/132361)_20,2020-03-23,3.0,Sendusu
SE201903_(162357C1/132383)_60,2020-03-23,3.0,Sendusu
SE201902_(162450C1/132447)_15,2020-03-23,4.0,Sendusu
SE201905_(162431C1/132332)_145,2020-03-23,4.0,Sendusu
SE201904_(162459C1/132361)_32,2020-03-23,2.0,Sendusu
SE201810_(162374C1/132566)_1,2020-03-23,4.0,Sendusu
SE201903_(162849C1/132373)_2,2020-03-23,4.0,Sendusu
